X,Y,Z,Temperature
0.17541,-0.00315659,175,328.225
0.108492,-0.0655639,175,300
0.101617,-0.0649788,175,300
0.102959,-0.0725742,175,300
0.105258,-0.0728578,175,300
0.106038,-0.0578475,175,300
0.11068,-0.0682704,175,300
0.0990593,-0.066749,175,300
0.100654,-0.0564119,175,300
0.0967757,-0.0617144,175,300
0.10533,-0.0530403,175,300
0.293543,-0.0391468,175,300
0.296984,-0.0443331,175,300
0.29841,-0.0399418,175,300
0.294872,-0.0360789,175,300
0.303307,-0.0535021,175,300
0.304981,-0.050191,175,300
0.312284,-0.0362774,175,300
0.314155,-0.0397423,175,300
0.31138,-0.0342314,175,300
0.315212,-0.0356045,175,300
0.313384,-0.0348673,175,300
-0.17715,0.149463,175,300
-0.181735,0.146459,175,300
-0.180329,0.154556,175,300
-0.182655,0.151978,175,300
-0.18236,0.154135,175,300
-0.185341,0.148695,175,300
-0.19,0.153239,175,300
-0.184621,0.154388,175,300
-0.180767,0.141761,175,300
-0.19,0.146315,175,300
-0.187103,0.144138,175,300
-0.186825,0.140567,175,300
-0.19,0.142122,175,300
-0.126947,0.188969,175,300
-0.129742,0.188528,175,300
-0.126494,0.185598,175,300
-0.130999,0.185414,175,300
-0.132901,0.193913,175,300
-0.129028,0.194785,175,300
-0.134881,0.18972,175,300
-0.138234,0.195668,175,300
-0.142944,0.195431,175,300
-0.139928,0.192606,175,300
-0.14086,0.198551,175,300
-0.135744,0.200361,175,300
-0.132918,0.200246,175,300
0.184565,-0.0832158,175,300
0.185831,-0.0809042,175,300
0.183835,-0.0810596,175,300
0.18061,-0.0877275,175,300
0.175974,-0.0821288,175,300
0.181543,-0.09,175,300
0.188588,-0.09,175,300
0.185126,-0.0800794,175,300
0.179515,-0.0781608,175,300
0.179727,-0.0729933,175,300
0.186105,-0.079705,175,300
0.184639,-0.0706082,175,300
0.190453,-0.0895701,175,300
0.190468,-0.0728501,175,300
0.187136,-0.0806415,175,300
0.193121,-0.0760759,175,300
0.191289,-0.0889348,175,300
0.195694,-0.0809832,175,300
-0.0129323,0.201409,175,300
-0.0148085,0.203173,175,300
-0.0161718,0.201285,175,300
-0.0198177,0.20761,175,300
-0.01032,0.208759,175,300
-0.016495,0.21,175,300
-0.00920234,0.21,175,300
0.0986204,-0.0142572,175,303.778
0.0952359,-0.0155333,175,302.586
0.0965717,-0.0182956,175,301.734
0.107062,-0.0171054,175,301.853
0.100514,-0.00884188,175,311.853
0.106631,-0.0163119,175,302.861
0.0995007,-0.00922459,175,311.495
0.107347,-0.017027,175,301.973
0.110792,-0.00833851,175,312.482
0.106739,-0.010719,175,308.613
0.100065,-0.00819197,175,313.026
0.109141,0.201284,175,311.499
0.108706,0.204742,175,311.89
0.107385,0.20302,175,313.007
0.103402,0.20925,175,315.009
0.10443,0.202068,175,314.332
-0.051909,0.193564,175,300
-0.0508835,0.192712,175,300
-0.0427228,0.200778,175,300
-0.0436398,0.192814,175,300
-0.0418103,0.201495,175,300
-0.0520287,0.192539,175,300
-0.0514071,0.191003,175,300
-0.0420798,0.201581,175,300
-0.0512983,0.200883,175,300
-0.0547132,0.189715,175,300
-0.060326,0.186174,175,300
-0.0593621,0.182461,175,300
-0.0530113,0.192704,175,300
-0.0590688,0.193349,175,300
-0.0472591,0.186696,175,300
-0.0540859,0.198661,175,300
-0.0503226,0.183436,175,300
0.107277,-0.000850475,175,337.201
0.114695,-0.00499391,175,320.47
0.1149,-0.00478394,175,321.158
0.107955,0,175,340.033
0.11875,0,175,340.032
0.119659,-0.0100968,175,309.841
0.114844,-0.00636753,175,318.087
0.114521,-0.0139615,175,304.325
0.120977,-0.00801866,175,312.824
0.12154,-0.00752541,175,314.461
0.347478,0.0866196,175,300
0.34452,0.0923708,175,300
0.33849,0.0867465,175,300
0.348625,0.075935,175,300
0.34879,0.0919979,175,300
0.353114,0.0872397,175,300
0.346869,0.0927239,175,300
0.357046,0.0922393,175,300
0.33419,0.0937909,175,300
0.346272,0.0936478,175,300
0.34798,0.0941895,175,300
0.35892,0.101133,175,300
0.35277,0.104386,175,300
0.337178,0.0987507,175,300
0.347411,0.103952,175,300
-0.13698,-0.0897984,175,300
-0.137097,-0.09,175,300
