X,Y,Z_Plane,Temperature_3D,Temperature_2D,Temp_Difference
0.085,0.04,20,327.075,341.77,-14.695
0.085,0.045,20,326.336,341.726,-15.39
0.085,0.05,20,325.649,341.684,-16.035
0.085,0.055,20,325.012,341.644,-16.632
0.085,0.06,20,324.424,341.606,-17.182
0.085,0.065,20,323.883,341.571,-17.688
0.085,0.07,20,323.388,341.537,-18.149
0.085,0.075,20,322.939,341.505,-18.566
0.085,0.08,20,322.534,341.475,-18.941
0.085,0.085,20,322.173,341.448,-19.275
0.085,0.09,20,321.855,341.422,-19.567
0.085,0.095,20,321.579,341.399,-19.82
0.085,0.1,20,321.344,341.377,-20.033
0.08,0.005,20,334.028,342.151,-8.123
0.08,-4.62E-34,20,335.245,342.211,-6.966
0.08,0.01,20,332.877,342.092,-9.215
0.08,0.015,20,331.789,342.035,-10.246
0.08,0.02,20,330.764,341.981,-11.217
0.08,0.025,20,329.799,341.928,-12.129
0.08,0.03,20,328.892,341.878,-12.986
0.08,0.035,20,328.042,341.83,-13.788
0.08,0.04,20,327.246,341.784,-14.538
0.08,0.045,20,326.503,341.74,-15.237
0.08,0.05,20,325.812,341.698,-15.886
0.08,0.055,20,325.172,341.658,-16.486
0.08,0.06,20,324.58,341.62,-17.04
0.08,0.065,20,324.035,341.584,-17.549
0.08,0.07,20,323.538,341.55,-18.012
0.08,0.075,20,323.086,341.518,-18.432
0.08,0.08,20,322.678,341.489,-18.811
0.08,0.085,20,322.315,341.461,-19.146
0.08,0.09,20,321.994,341.435,-19.441
0.08,0.095,20,321.717,341.412,-19.695
0.08,0.1,20,321.481,341.39,-19.909
0.075,0.005,20,334.194,342.162,-7.968
0.075,-4.33E-34,20,335.412,342.223,-6.811
0.075,0.01,20,333.041,342.103,-9.062
0.075,0.015,20,331.951,342.047,-10.096
0.075,0.02,20,330.923,341.992,-11.069
0.075,0.025,20,329.954,341.94,-11.986
0.075,0.03,20,329.044,341.89,-12.846
0.075,0.035,20,328.19,341.841,-13.651
0.075,0.04,20,327.391,341.795,-14.404
0.075,0.045,20,326.645,341.751,-15.106
0.075,0.05,20,325.951,341.709,-15.758
0.075,0.055,20,325.307,341.669,-16.362
0.075,0.06,20,324.712,341.631,-16.919
0.075,0.065,20,324.164,341.595,-17.431
0.075,0.07,20,323.664,341.561,-17.897
0.075,0.075,20,323.21,341.53,-18.32
0.075,0.08,20,322.8,341.5,-18.7
0.075,0.085,20,322.435,341.472,-19.037
0.075,0.09,20,322.113,341.447,-19.334
0.075,0.095,20,321.833,341.423,-19.59
0.075,0.1,20,321.596,341.402,-19.806
