X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.005,0.065,323.738,341.538,-17.80000000000001
0.005,0.07,323.247,341.504,-18.257000000000005
0.005,0.075,322.8,341.472,-18.67199999999997
0.005,0.08,322.398,341.443,-19.04499999999996
0.005,0.085,322.039,341.415,-19.376000000000033
0.005,0.09,321.723,341.389,-19.665999999999997
0.005,0.095,321.448,341.366,-19.918000000000006
0.005,0.1,321.215,341.345,-20.130000000000052
-5.51e-19,0.005,333.309,342.08399999999995,-8.77499999999992
0.0,0.0,334.291,342.135,-7.843999999999994
-1.1e-18,0.01,332.175,342.02599999999995,-9.850999999999942
-1.65e-18,0.015,331.106,341.969,-10.863
-2.2e-18,0.02,330.101,341.915,-11.814000000000021
-2.76e-18,0.025,329.155,341.862,-12.70700000000005
-3.31e-18,0.03,328.267,341.81200000000007,-13.545000000000073
-3.86e-18,0.035,327.435,341.76399999999995,-14.32899999999995
-4.41e-18,0.04,326.656,341.718,-15.062000000000012
-4.96e-18,0.045,325.93,341.67400000000004,-15.744000000000028
-5.51e-18,0.05,325.254,341.63200000000006,-16.378000000000043
-6.06e-18,0.055,324.627,341.5919999999999,-16.964999999999918
-6.61e-18,0.06,324.047,341.55400000000003,-17.507000000000005
-7.16e-18,0.065,323.515,341.51800000000003,-18.003000000000043
-7.72e-18,0.07,323.028,341.484,-18.45599999999996
-8.27e-18,0.075,322.585,341.453,-18.867999999999995
-8.82e-18,0.08,322.187,341.42299999999994,-19.235999999999933
-9.37e-18,0.085,321.831,341.3960000000001,-19.565000000000055
-9.92e-18,0.09,321.518,341.37,-19.852000000000032
-1.05e-17,0.095,321.246,341.347,-20.101
-1.39e-17,0.1,321.121,341.3350000000002,-20.214000000000226
